arr1,2, -0.222924, 0.921800, 4.011532, 12.791740, 0.068872, 0.004950, 1.000000 
arr1,3, -0.065834, 0.910400, 4.100723, 13.597615, 0.012664, 23.192000, 0.000000 
arr1,4, -0.144223, 0.9276, 4.098163, 13.81382, 0.105559, 0.4626, 1 
arr1,5, -0.065834, 0.910400, 4.100723, 13.597615, 0.012664, 23.192000, 0.000000 
arr1,6, -0.222924, 0.921800, 4.011532, 12.791740, 0.068872, 0.004950, 1.000000 
arr10,3, -0.107458, 0.899100, 3.955297, 12.772085, 0.034615, 3.422300, 1.000000 
arr10,4, -0.080466, 0.909900, 4.037430, 13.664440, 0.025514, 0.000050, 1.000000 
arr10,5, -0.070893, 0.9062, 4.011214, 13.75879, 0.105150, 3.7539, 0 
arr10,6, -0.080466, 0.909900, 4.037430, 13.664440, 0.025514, 0.000050, 1.000000 
arr10,7, -0.107458, 0.899100, 3.955297, 12.772085, 0.034615, 3.422300, 1.000000 
arr11,4, -0.113667, 0.881100, 3.972580, 12.500840, 0.103050, 6.688500, 0.000000 
arr11,5, -0.077765, 0.903400, 4.018505, 13.691960, 0.102537, 0.005050, 1.000000 
arr11,6, -0.068415, 0.9069, 4.010991, 13.71161, 0.000872, 7.8617, 0 
arr11,7, -0.077765, 0.903400, 4.018505, 13.691960, 0.102537, 0.005050, 1.000000 
arr11,8, -0.113667, 0.881100, 3.972580, 12.500840, 0.103050, 6.688500, 0.000000 
arr12,6, -0.151704, 0.902300, 4.009780, 6.049935, 0.041879, 0.321800, 0.000000 
arr12,7, -0.067672, 0.894700, 4.012345, 12.335735, 0.051349, 3.407100, 1.000000 
arr12,8, -0.062249, 0.8978, 3.986949, 13.69589, 0.136685, 1.9278, 1 
arr12,9, -0.067672, 0.894700, 4.012345, 12.335735, 0.051349, 3.407100, 1.000000 
arr12,10, -0.151704, 0.902300, 4.009780, 6.049935, 0.041879, 0.321800, 0.000000 
arr13,5, -0.072933, 0.891750, 4.002083, 9.029695, 0.114418, 5.007950, 0.000000 
arr13,6, -0.064678, 0.888300, 3.964662, 13.707685, 0.095338, 0.023700, 1.000000 
arr13,7, -0.033616, 0.8857, 3.933831, 13.69589, 0.002639, 6.6958, 0 
